第26课			
みる	見る、診る	 看、诊断	
さがす	探す、捜す	 寻找	
おくれる	遅れる	 迟了、没赶上	
じかんにおくれる	時間に遅れる	没赶上（时间）	
まにあう	間に合う	赶上（时间）	
やる		 做、干、搞	
さんかする	参加します	参加	
パーティーにさんかする	パーティーに参加します	参加（晚会）	
もうしこむ	申し込む	 报名、申请	
つごうがいい	都合がいい	 方便（时间上）	
つごうがわるい	都合が悪い	不方便（时间）	
きぶんがいい	気分がいい	 感觉舒服	
きぶんがわるい	気分が悪い	感觉不舒服	
しんぶんしゃ	新聞社	报社	
じゅうどう	柔道	 柔道	
うんどうかい	運動会	 运动会	
ばしょ	場所	 场所、地点	
ボランティア 	Volunteer	 志愿者（活动）	
~べん	～弁	 ～方言	
こんど	今度	 这次、这回、下次、下回	
ずいぶん		 很、极、相当	
ちょくせつ	直接	 直接	
いつでも		 随时	
どこでも		在任何地方	
だれでも		 任何人都	
なんでも	何でも	 什么都	
こんな～		 这样的～	
そんな～		 那样的～	
あんな～		 那样的～	
NHK		 日本广播协会（广播公司）	
こどもの日		 （日本）男孩节	
エドヤストア		 江户屋商店（虚构的店名）	
会　話 			
かたづきる	荷物が片付きる	 收拾（行李）	
ごみ		 垃圾	
だす	ごみを出す	 扔掉、倒（垃圾）	
もえる	ごみが燃える	（垃圾）燃烧	
げつ　すい　きん	月　水　金	 星期一、星期二、星期五	
おきば	置き場	 放置的地方	
よこ	横	 旁边	
びん	瓶	 瓶子	
かん	缶	 罐子	
「お」ゆ	「お」湯	 热水	
ガス 	Gas	 煤气	
～がいしゃ	～会社	 ～公司	
れんらくする	連絡する	 联系	
こまったなあ	困ったなあ	 怎么办呢？	
読み物			
でんしメール	電子メール	 电子邮件	
うちゅう	宇宙	 宇宙	
こわい	怖い	 害怕（的）、可怕（的）	
うちゅうせん	宇宙船	 宇宙飞船	
べつの	別の	 别的	
うちゅうひこうし	宇宙飛行士	 宇航员	
どいたかお	土井隆雄	 日本宇航员，1955～	
第27课			
かう	飼う	饲养、喂	
たつ	建つ	修建	
はしる	走る	跑 	
「みちをはしる」	「道を走る」	在路上【跑】	
とる	取る	取得	
とる「やすみを～」	取る「休みを～」	请【 假】	
みえる	見える	看得见	
みえる「やまが～」	見える「山が～」	看得见 【山】	
きこえる	聞こえる	听得见	
きこえる「おとが～」	聞こえる「音が～」	听得见【声音】	
できる	出来る	产生、形成、完成、能	
できる「くうこうが～」	出来る「空港が～」	建好【机场】	
ひらく	開く	开	
ひらく「教室を～」	開く「教室を～」	开【讲座】	
ペット	Pet	宠物	
とり	鳥	鸟	
こえ	声	声音	
なみ	波	波浪	
はなび	花火	烟花	
けしき	景色	景色	
ひるま 　　　	昼間	白天	
むかし	昔	从前、以前	
どうぐ	道具	工具	
じどうはんばいき	自動販売機	自动售货机	
つうしんはんばい	通信販売	邮递购物、邮购	
クリーニング	Cleaning	（干）洗、洗衣	
マンション	Mansion	高级公寓	
だいどころ	台所	厨房	
～きょうしつ	～教室	教室	
パーティールーム	Party room	晚会厅	
～ご	～後	～之后（时间、期间）	
～しか 		只有～	
ほかの 		之外的	
はっきり 		清楚地	
ほとんど 		几乎所有的（用于肯定句）	
		几乎都不（用于否定句）	
会　話			
にちようだいく	日曜大工	星期天做木匠活儿	
ほんだな	本棚	书架	
ゆめ	夢	梦	
いつか 		什么时候	
いえ	家	家、房子	
すばらしい		极好地、很棒的	
読み物			
こどもたち	子どもたち	孩子们	
だいすき（な）	大好き（な）	非常喜欢	
まんが	漫画	漫画、连环画	
しゅじんこう	主人公	主人公	
かたち	形	形状、样子	
ロポット		机器人	
ふしぎ（な）	不思議（な）	不可思议（形动）	
ポケット		口袋	
たとえば	例えば	例如	
つける	付ける	戴上	
じゆうに	自由に	自由地	
そら	空	天空	
とぶ	飛ぶ	飞、飞翔	
じぶん	自分	自己	
しょうらい	将来	将来	
ドラえもん		机器猫	
第28课			
うれる	売れる	卖、出售	
「パンがうれる」	「Panが売れる」	出售【面包】	
おどる	踊る	跳舞	
かむ	咬む	嚼、咬	
えらぶ	選ぶ	选择	
ちがう	違う	不同	
かよう	通う	通过	
「だいがくにかよう」	「大学に通う」	上【大学】	
メモする	Memoする	记笔记	
まじめ「な」	真面目「な」	认真	
ねっしん「な」	熱心「な」	热心	
やさしい	優しい	和蔼的、温和的	
えらい	偉い	了不起的	
ちょうどいい		正好	
しゅうかん	習慣	习惯	
けいけん	経験	经验	
ちから	力	力量、力气	
にんき	人気	人缘、受欢迎	
かたち	形	形状、样子	
いろ	色	颜色	
あじ	味	味道	
ガム	Gum	口香糖	
しなもの	品物	商品、物品	
ねだん	値段	价格、价钱	
きゅうりょう	給料	工资、报酬	
ボーナス	Bonus	奖金、红包	
ばんぐみ	番組	节目	
ドラマ	Drama	电视剧	
しょうせつ	小説	小说	
しょうせつか	小説家	小说家	
かしゅ	歌手	歌手	
かんりにん	管理人	管理人	
むすこ	息子	（我的）儿子	
むすこさん	息子さん	（您的）儿子	
むすめ	娘	（我的）女儿	
むすめさん	娘さん	（您的）女儿	
じぶん	自分	自己	
しょうらい	将来	将来	
しばらく	暫く	不久	
たいてい	大抵	大概、通常、几乎	
それに		而且	
それで		所以、因此	
会 話			
「ちょっと」お願いが　あるんですが		我有件事想麻烦您一下	
ホームステイ	Home stay	外国人短期住在当地人家里体验生活	
かいわ	会話	会话	
おしゃべりする	お喋りする	聊天	
読み物			
